change_rate,sex,
0.0006444959 ,female,
-0.0001174971 ,female,
-0.0000507199 ,female,
0.0000831442 ,female,
0.0000517749 ,female,
0.0001283002 ,female,
0.0000356512 ,female,
-0.0001066131 ,female,
0.0001155220 ,female,
0.0000506805 ,female,
0.0001691963 ,female,
0.0000913834 ,female,
0.0005038249 ,female,
0.0001823155 ,female,
0.0002223965 ,female,
0.0007953969 ,female,
0.0004240588 ,female,
0.0011582191 ,female,
0.0006144347 ,female,
0.0002546774 ,female,
0.0002494860 ,female,
0.0002679198 ,female,
0.0004791850 ,female,
0.0006602361 ,female,
0.0001208973 ,female,
0.0002012684 ,female,
0.0001901449 ,female,
-0.0000136306 ,female,
0.0000572778 ,female,
0.0007999086 ,female,
0.0002452716 ,female,
0.0002669302 ,female,
0.0005334295 ,female,
0.0002208931 ,female,
0.0002803339 ,female,
0.0002589255 ,female,
0.0001843726 ,female,
0.0005961618 ,female,
0.0004648640 ,female,
0.0001106962 ,female,
0.0004512174 ,female,
0.0005038624 ,female,
0.0002985219 ,female,
0.0003547575 ,female,
0.0002535630 ,female,
0.0003675254 ,female,
0.0005305939 ,female,
0.0004398084 ,female,
0.0002441405 ,female,
-0.0000416506 ,female,
0.0000165469 ,female,
0.0004059838 ,female,
0.0002904446 ,female,
0.0002282932 ,female,
0.0002216982 ,female,
0.0000923467 ,female,
0.0003056079 ,female,
0.0003052049 ,female,
0.0007654907 ,female,
0.0005170269 ,female,
0.0002486238 ,female,
0.0002653462 ,female,
0.0005665185 ,female,
0.0003471991 ,female,
0.0005658507 ,female,
0.0003402661 ,female,
0.0004998004 ,female,
0.0005652195 ,female,
0.0004388206 ,female,
0.0006106702 ,female,
0.0004095985 ,female,
0.0004123517 ,female,
0.0004244024 ,female,
0.0004402443 ,female,
0.0003766376 ,female,
0.0004185655 ,female,
0.0000177423 ,female,
0.0006388923 ,female,
0.0002518960 ,female,
0.0007248500 ,female,
0.0006934589 ,female,
0.0001182848 ,female,
0.0004595702 ,female,
0.0002392762 ,female,
0.0004487716 ,female,
0.0004730884 ,female,
0.0004269575 ,female,
0.0004313526 ,female,
0.0003009811 ,female,
0.0005292035 ,female,
0.0002139670 ,female,
0.0000982991 ,female,
0.0004294943 ,female,
0.0006987464 ,female,
0.0004025321 ,female,
0.0003455868 ,female,
0.0000493657 ,female,
0.0002973522 ,female,
0.0001520515 ,female,
0.0004436407 ,female,
0.0004171276 ,female,
0.0004437141 ,female,
0.0006742427 ,female,
0.0004357652 ,female,
0.0003687983 ,female,
0.0003630946 ,female,
0.0003296991 ,female,
0.0002820238 ,female,
0.0002907744 ,female,
0.0005310192 ,female,
0.0005310358 ,female,
0.0006081212 ,female,
0.0001772319 ,female,
0.0004992818 ,female,
0.0002414586 ,female,
0.0006335245 ,female,
0.0005944283 ,female,
0.0003381436 ,female,
0.0005556816 ,female,
0.0004679568 ,female,
0.0006550806 ,female,
0.0005689103 ,female,
0.0007154054 ,female,
0.0006391602 ,female,
0.0005859817 ,female,
0.0006608650 ,female,
0.0007065042 ,female,
-0.0000520691 ,female,
0.0009728514 ,female,
0.0007076640 ,female,
0.0006316137 ,female,
0.0005332289 ,female,
0.0006737126 ,female,
0.0004269363 ,female,
0.0006564486 ,female,
0.0001932321 ,female,
0.0004891215 ,female,
0.0006775493 ,female,
0.0002589691 ,female,
0.0006933464 ,female,
0.0009249473 ,female,
0.0008631814 ,female,
0.0008457811 ,female,
0.0005626916 ,female,
0.0006867317 ,female,
0.0008101141 ,female,
0.0009452841 ,female,
0.0006336506 ,female,
0.0008888464 ,female,
0.0000703018 ,female,
0.0008682728 ,female,
0.0002913613 ,male,
-0.0002351151 ,male,
-0.0001091600 ,male,
0.0000731247 ,male,
-0.0000374864 ,male,
-0.0001385724 ,male,
-0.0000143831 ,male,
-0.0002413052 ,male,
-0.0000840163 ,male,
-0.0001354155 ,male,
-0.0000876981 ,male,
0.0001074249 ,male,
-0.0002020475 ,male,
0.0000139802 ,male,
-0.0000480473 ,male,
0.0002844528 ,male,
0.0001024954 ,male,
0.0004139504 ,male,
0.0006415426 ,male,
0.0001389140 ,male,
-0.0000010512 ,male,
-0.0000777800 ,male,
0.0004090119 ,male,
0.0002644181 ,male,
0.0001104319 ,male,
0.0000372330 ,male,
-0.0000096287 ,male,
0.0002866451 ,male,
0.0002076204 ,male,
0.0002691892 ,male,
0.0000570315 ,male,
-0.0000998709 ,male,
0.0004022337 ,male,
0.0000622710 ,male,
0.0000019014 ,male,
0.0001208888 ,male,
0.0000938294 ,male,
0.0000520550 ,male,
0.0002764382 ,male,
0.0001694229 ,male,
-0.0001494491 ,male,
0.0000564797 ,male,
0.0000709267 ,male,
0.0001671386 ,male,
0.0001835246 ,male,
0.0001787044 ,male,
0.0001681187 ,male,
0.0000381911 ,male,
0.0001154804 ,male,
0.0000099216 ,male,
0.0001634265 ,male,
0.0000865215 ,male,
0.0002398789 ,male,
0.0001294397 ,male,
0.0002346880 ,male,
0.0003229270 ,male,
0.0000952247 ,male,
-0.0000614066 ,male,
0.0004523270 ,male,
0.0003236586 ,male,
0.0002089392 ,male,
0.0002515289 ,male,
-0.0000747067 ,male,
0.0001936645 ,male,
0.0005459469 ,male,
0.0001642642 ,male,
0.0002899522 ,male,
0.0000610185 ,male,
0.0001067178 ,male,
0.0002502819 ,male,
0.0002010302 ,male,
0.0000767588 ,male,
0.0003424725 ,male,
0.0005077375 ,male,
0.0003311265 ,male,
0.0002058515 ,male,
0.0002810546 ,male,
0.0008216029 ,male,
0.0004681224 ,male,
0.0005717270 ,male,
0.0005998932 ,male,
0.0002410336 ,male,
0.0004587750 ,male,
0.0002257425 ,male,
0.0001791170 ,male,
0.0001888927 ,male,
0.0001045379 ,male,
0.0003370305 ,male,
0.0001058938 ,male,
0.0000710152 ,male,
0.0002718806 ,male,
0.0002696205 ,male,
0.0000229684 ,male,
0.0005487572 ,male,
0.0001217882 ,male,
0.0005546833 ,male,
0.0001433258 ,male,
0.0005114387 ,male,
0.0000917658 ,male,
0.0002021212 ,male,
0.0004261632 ,male,
0.0003819163 ,male,
0.0006499615 ,male,
0.0001723259 ,male,
0.0005658176 ,male,
0.0005014709 ,male,
0.0006077533 ,male,
0.0001510004 ,male,
0.0004188588 ,male,
0.0002742355 ,male,
0.0002777018 ,male,
0.0002804034 ,male,
0.0005341607 ,male,
-0.0000059317 ,male,
0.0002978540 ,male,
0.0003596525 ,male,
0.0004689618 ,male,
0.0002558530 ,male,
0.0004527384 ,male,
0.0003375976 ,male,
0.0004559588 ,male,
0.0005510503 ,male,
0.0004519588 ,male,
0.0003400021 ,male,
0.0003277947 ,male,
0.0005273414 ,male,
0.0004768843 ,male,
-0.0003574698 ,male,
0.0002495501 ,male,
0.0005113337 ,male,
0.0003997668 ,male,
0.0008368065 ,male,
0.0005734264 ,male,
0.0002440826 ,male,
0.0006920403 ,male,
0.0002972222 ,male,
0.0000931647 ,male,
0.0005817487 ,male,
0.0001594927 ,male,
0.0007370283 ,male,
0.0005068558 ,male,
0.0005131575 ,male,
0.0006498623 ,male,
0.0007202512 ,male,
0.0003511457 ,male,
0.0006412710 ,male,
0.0005196588 ,male,
0.0006389192 ,male,
0.0007058427 ,male,
0.0001090309 ,male,
0.0005625788 ,male,
